year,strtno,pairs,agr_area,DEPLY,CYLDR,CLUTCH,prcnt_area,ElSite,date
1999,84,227,14.91090968,2,1,8,0.463505271,1,138
1997,81,219.5,15.01664767,1,1,11,0.466792134,1,108
1999,83,219.5,15.48408091,1,1,12,0.481322285,1,97
1998,83,219.5,15.60183983,1,1,11,0.484982818,1,116
1997,83,219.5,15.73998742,1,1,11,0.489277132,1,108
1997,91,219.75,16.00065275,1,1,10,0.497379908,1,119
1999,87,236.5,16.04361464,2,1,13,0.498715377,1,94
1999,74,258,16.29625987,2,1,9,0.506568848,1,128
1999,89,211,16.3173087,1,1,25,0.507223151,1,115
1997,90,211.5,16.46896547,1,1,11,0.511937398,1,112
1997,87,236.5,16.50695919,2,1,12,0.513118432,1,108
1998,88,230.5,16.59728519,1,1,12,0.515926213,1,94
1998,90,211.5,16.60047368,1,1,11,0.516025327,1,102
1997,89,211,16.65102261,1,1,21,0.51759664,1,110
1997,89,211,16.65102261,1,1,11,0.51759664,1,174
1998,89,211,16.72008869,1,1,21,0.519743557,1,86
1998,74,258,16.73007125,2,1,8,0.520053865,1,162
1999,111,258,16.73604725,1,1,12,0.520239629,1,99
1997,88,230.5,16.76621604,1,1,12,0.521177425,1,105
1998,111,258,17.1432908,1,1,12,0.532898784,1,103
1997,74,258,17.23713625,2,2,11,0.535815968,1,128
1997,72,270.667,17.42181274,2,2,11,0.541556632,1,132
1998,70,246.25,17.70678685,2,1,8,0.550415046,1,124
1997,70,246.25,18.25350907,2,2,8,0.567409893,1,159
1999,28,181.6,18.77205849,2,2,10,0.583528989,1,116
1999,17,193,19.00879099,2,2,15,0.590887813,1,96
1999,71,214.75,19.01076434,2,1,10,0.590949155,1,114
1999,13,189.25,19.0443466,2,1,12,0.591993059,1,92
1999,13,189.25,19.0443466,2,1,8,0.591993059,1,150
1999,13,189.25,19.0443466,2,2,10,0.591993059,1,104
1999,15,178.75,19.11778496,2,1,11,0.594275888,1,103
1999,15,178.75,19.11778496,2,1,10,0.594275888,1,142
1999,16,193,19.1269084,1,1,12,0.59455949,1,107
1999,69,234.5,19.19906384,2,2,9,0.59680244,1,117
1998,13,189.25,19.31135607,2,1,12,0.600293042,1,93
1998,13,189.25,19.31135607,2,2,10,0.600293042,1,120
1998,71,214.75,19.33629356,2,1,11,0.601068223,1,101
1998,16,193,19.39993189,1,1,11,0.603046419,1,105
1998,15,178.75,19.40413598,2,1,11,0.603177103,1,99
1998,18,199.25,19.44008563,2,1,14,0.604294597,1,94
1998,28,181.6,19.52727804,2,2,11,0.607004971,1,97
1997,71,214.75,19.60855719,2,1,11,0.609531531,1,171
1997,13,189.25,19.87981445,2,2,11,0.617963557,1,108
1999,56,190.25,19.90029789,2,2,12,0.618600284,2,115
1997,15,178.75,19.97308602,2,1,11,0.620862901,2,108
1998,69,234.5,19.98022656,2,2,25,0.621084865,2,109
1997,16,193,19.98098635,1,1,12,0.621108483,2,109
1997,18,199.25,20.04441627,2,1,13,0.6230802,2,109
1999,59,214.75,20.23248845,2,1,12,0.62892642,2,107
1997,28,181.6,20.2610429,2,1,11,0.629814034,2,110
1999,55,179.75,20.2849735,2,2,10,0.630557916,2,117
1999,38,147,20.32600791,2,1,9,0.63183347,2,131
1998,40,147,20.51776054,1,1,13,0.637794096,2,113
1999,60,158.5,20.62420199,1,1,13,0.641102826,2,100
1999,22,216,20.65664609,2,1,11,0.64211135,2,102
1997,102,119.667,20.69475288,1,1,11,0.643295898,2,111
1997,102,119.667,20.69475288,1,1,11,0.643295898,2,164
1997,69,234.5,20.75998072,2,2,10,0.645323504,2,126
1998,56,190.25,20.81085431,2,1,11,0.646904908,2,94
1998,56,190.25,20.81085431,2,2,11,0.646904908,2,108
1999,42,110.333,20.85494641,2,2,11,0.64827551,2,100
1999,41,108,20.87423023,2,1,10,0.648874947,2,155
1999,43,119.5,21.00666781,1,1,11,0.652991767,2,98
1999,102,119.667,21.01016133,1,1,17,0.653100362,2,114
1999,102,119.667,21.01016133,1,1,12,0.653100362,2,166
1999,110,212.75,21.02982474,1,1,12,0.653711599,2,98
1997,40,147,21.05330442,1,1,11,0.654441464,2,116
1997,40,147,21.05330442,1,1,12,0.654441464,2,168
1997,68,234.5,21.08029623,1,1,10,0.655280504,2,140
1998,60,158.5,21.0858451,1,1,12,0.655452991,2,101
1998,60,158.5,21.0858451,1,1,6,0.655452991,2,158
1999,96,125.25,21.25597534,2,1,10,0.660741485,2,141
1999,96,125.25,21.25597534,2,2,11,0.660741485,2,110
1998,59,214.75,21.36070417,2,1,10,0.663996978,2,125
1998,59,214.75,21.36070417,2,2,13,0.663996978,2,103
1999,65,164.75,21.37760916,1,1,11,0.66452247,2,100
1999,24,208.75,21.47795582,2,1,12,0.667641743,2,116
1998,51,106.25,21.52789879,1,1,10,0.669194219,2,109
1997,55,179.75,21.57342523,2,1,13,0.670609407,2,112
1999,66,143.25,21.620141,1,1,11,0.672061566,2,105
1997,61,176,21.63869045,2,2,11,0.672638175,2,132
1999,98,119.333,21.66717475,1,1,12,0.673523609,2,119
1998,102,119.667,21.67260489,1,1,15,0.673692405,2,107
1998,102,119.667,21.67260489,1,1,10,0.673692405,2,164
1998,41,108,21.82011849,2,1,12,0.678277861,2,112
1998,42,110.333,21.8571382,2,2,11,0.679428618,2,99
1997,60,158.5,21.91481155,1,1,11,0.681221393,2,112
1998,110,212.75,21.9183969,1,1,11,0.681332843,2,99
1997,59,214.75,22.00035318,2,1,10,0.683880452,2,136
1999,63,188.75,22.03797167,2,1,8,0.685049822,2,118
1998,43,119.5,22.06011121,1,1,10,0.685738029,2,102
1997,51,106.25,22.21112277,1,1,10,0.69043222,2,119
1997,110,212.75,22.21523187,1,1,11,0.690559951,2,109
1998,24,208.75,22.26425614,2,1,11,0.69208387,2,110
1997,41,108,22.27548056,2,1,8,0.69243278,2,162
1997,41,108,22.27548056,2,2,10,0.69243278,2,114
1997,42,110.333,22.31021902,2,1,10,0.693512625,2,157
1998,66,143.25,22.32382595,1,1,10,0.693935596,2,100
1999,51,106.25,22.33930194,1,1,10,0.694416666,2,112
1998,98,119.333,22.34236389,1,1,12,0.694511847,2,119
1999,12,192,22.36665659,2,1,14,0.695266985,2,105
1999,12,192,22.36665659,2,2,10,0.695266985,2,128
1997,43,119.5,22.38502577,1,1,11,0.695837991,2,119
1997,24,208.75,22.53473935,2,1,11,0.700491834,2,113
1997,66,143.25,22.66043896,1,1,9,0.704399203,3,122
1998,64,165.75,23.01784104,1,1,9,0.715509038,3,117
1998,12,192,23.24104057,2,1,12,0.72244719,3,94
1997,46,111,23.29919449,1,1,11,0.724254903,3,104
1997,12,192,23.34760168,2,1,11,0.72575964,3,108
1999,31,81.5,23.39797935,2,2,13,0.727325628,3,102
1998,31,81.5,23.59259568,2,2,11,0.733375272,3,103
1997,31,81.5,23.68314455,2,1,12,0.736189982,3,123
1999,30,81.5,23.76437613,2,1,10,0.738715063,3,128
1999,46,111,23.85984862,1,1,10,0.741682824,3,140
1997,30,81.5,24.06354324,2,1,9,0.748014666,3,142
1997,30,81.5,24.06354324,2,2,10,0.748014666,3,113
1999,47,101.75,24.30100758,2,1,12,0.755396239,3,104
1999,47,101.75,24.30100758,2,2,10,0.755396239,3,127
1999,109,68,24.59309699,1,1,13,0.764475832,3,92
1998,32,82.25,24.60214509,1,1,11,0.764757092,3,97
1999,95,78.5,24.69971034,2,1,9,0.767789905,3,140
1999,95,78.5,24.69971034,2,2,11,0.767789905,3,111
1999,92,64,24.8634651,1,1,11,0.772880218,3,101
1998,47,101.75,24.97397219,2,1,11,0.776315328,3,106
1998,109,68,25.16662841,1,1,13,0.782304042,3,99
1997,52,99.667,25.27996841,2,2,10,0.785827213,3,117
1998,95,78.5,25.29584463,2,1,9,0.786320725,3,163
1998,95,78.5,25.29584463,2,2,12,0.786320725,3,125
1998,92,64,25.50997498,1,1,10,0.792976962,3,109
1999,1,67,25.52993026,2,1,14,0.793597272,3,102
1999,1,67,25.52993026,2,2,8,0.793597272,3,131
1997,95,78.5,25.66327738,2,1,11,0.797742363,3,111
1999,2,67,25.76509584,2,1,12,0.800907388,3,100
1997,109,68,25.78902013,1,1,11,0.801651074,3,109
1998,1,67,26.05918137,2,1,7,0.810049029,3,126
1998,1,67,26.05918137,2,2,11,0.810049029,3,112
1998,2,67,26.39784294,2,1,11,0.820576316,3,101
1997,2,67,26.63225414,2,2,11,0.827862983,3,110
1997,6,94,27.26926202,2,2,8,0.847664357,3,124
